"config","n","mean_ns","sd_ns","se_ns","cv_pct","min_ns","max_ns","rank"
"1010110",300,34615618.0621432,5751845.87215154,332082.976262393,16.6163315698296,27580827.784048,74139096.0728727,52
"1110011",300,34626847.7574228,6253126.13697318,361024.405845815,18.0586063761254,27247338.2163964,94140476.5163297,53
"1100101",300,34680813.7389321,5582067.84513899,322280.837302575,16.0955503730659,27096274.897134,59714449.2050655,54
"1100011",300,34706472.7112612,6499049.27167392,375222.784647758,18.7257556414403,27259772.7296156,74716383.6374139,55
"1010111",300,34730300.1894809,7874827.77402986,454653.393515808,22.6742289328527,27186490.6394135,135950537.114419,56
"1100010",300,34738622.0432674,7159936.09838244,413379.103378162,20.6108811381886,26738091.0268829,88357801.7756054,57
"1010000",300,34863777.3116611,6055582.97149504,349619.245869278,17.3692681586444,26789969.4467896,72913277.2983781,58
"1110000",300,34872786.6066859,6225367.18239205,359421.741855831,17.8516481995118,27121653.5347701,71357099.4250167,59
"1010100",300,34944022.6807317,9210758.45239561,531783.387193122,26.3586094152648,26965377.6209731,154515978.806487,60
"1110110",300,35094248.1991854,7958005.96679251,459455.688714031,22.6760975805068,27522804.9091313,104384273.119751,61
"1110010",300,35140240.8524328,7288304.69008182,420790.467475475,20.7406224695163,27350745.6085314,97280744.3963564,62
"1010011",300,35164644.8222528,6930742.83591813,400146.62420014,19.7094066240425,27478046.4856699,81291838.6776272,63
"1100001",300,35584010.8171043,7085440.28982022,409078.085865473,19.9118652650994,27028860.6158631,75456499.2597201,64
"0001011",300,45947190.7354277,6389089.61783174,368874.26107318,13.9052889100909,38861726.8553655,64348445.7462786,65
"0011011",300,46469290.8532208,7961488.7368333,459656.766536088,17.1327958543217,37155708.7296156,113336860.551877,66
"0011000",300,46606618.1122654,7777265.00091539,449020.604183756,16.6870399868568,37097365.5276605,114582976.412353,67
"0011101",300,46610687.0907384,7509126.99258465,433539.649054783,16.1103117359468,37849930.2235059,106357356.633637,68
"0001000",300,46789625.705695,8963258.90881876,517493.994382282,19.1565091056665,36791977.3774717,118818369.635192,69
"0001101",300,47491626.7299889,8260339.41669052,476910.918582395,17.3932543175542,37644105.5409909,87872651.9155743,70
"0011110",300,47493616.252104,8965279.4775763,517610.65197389,18.8768095273839,37363469.9346812,130180457.050433,71
"1001010",300,47926624.0048345,8873750.2873771,512326.211713869,18.5152834601535,39776988.5660964,137669091.675628,72
"1001111",300,48146680.6235296,7144414.9497857,412482.989446116,14.8388525590156,38958028.8113753,88870907.4499,73
"0111010",300,48325534.8856995,7430863.61806329,429021.111020024,15.3766815734972,40176363.5814264,92494927.3992446,74
"0101101",300,48406235.5074398,6666193.71044118,384872.87331934,13.771353298929,40591259.8978005,76151841.8982448,75
"0111000",300,48443181.6397778,7106682.88664875,410304.527765196,14.6701406598226,39769111.4330149,73370282.0599867,76
"1001100",300,48472771.3160749,8366814.36054006,483058.252331743,17.2608541524949,38911683.3130415,123903124.560764,77
"0111111",300,48497677.7140013,6951940.93513908,401370.497029293,14.3345852066068,38687104.9384581,73623602.5061098,78
"1011111",300,48646619.0122373,7444262.14215384,429794.675169066,15.3027328379824,39678677.2859365,84798779.0944235,79
"0101010",300,48690843.6543701,8840299.52546963,510394.931074681,18.1559793628184,38840294.0644301,102024977.119751,80
"1001001",300,48784010.870568,7507756.28151561,433460.511014314,15.3897888827446,38687206.8606976,82236221.0282159,81
"1111000",300,48851755.3798948,9070399.96310591,523679.786035677,18.5671935277865,38590016.7251722,124688289.81293,82
"1011110",300,48852261.4480812,6822127.10860543,393875.692259919,13.96481330932,38988124.9926683,70910811.0588758,83
"0101111",300,48916456.0058061,7727244.36587916,446132.661473435,15.7968197143349,38882941.2415019,105283096.229282,84
"0101000",300,48923598.4736784,7794265.37951789,450002.121500004,15.9315046780774,39450851.9600089,86946193.318818,85
"0111001",300,49045611.1396875,7459335.3334243,430664.926272821,15.2089762164025,38478979.7253944,79258111.4312375,86
"0101100",300,49094334.8236096,8040127.1038045,464196.954770033,16.3768938568814,38972574.5709842,96229664.0213286,87
"1111001",300,49097170.0576405,7392705.6265321,426818.058351797,15.0572947847157,39810317.1384137,71980324.7989336,88
"1011000",300,49160858.2074383,9307728.33003371,537381.945688887,18.9332096090735,39199686.4412353,125783997.56854,89
"0111100",300,49186520.285969,9880750.82615629,570465.414927695,20.0883306416268,38879854.453677,152716148.539436,90
"1011101",300,49214360.7824987,8593277.68811448,496133.11864541,17.4609149676701,39574629.2397245,124218413.728505,91
"0111110",300,49236791.5862964,10029172.22426,579034.528342564,20.3692643268237,39625823.3245945,154643177.761386,92
"0101001",300,49321253.7210872,9388956.25556972,542071.64215628,19.0363292641839,39090440.3608087,143883450.781604,93
"1111010",300,49369194.0112627,8137060.38283881,469793.400244422,16.4820604139952,38987251.3734726,83701469.7036214,94
"0111101",300,49515733.9244672,9276285.64097838,535566.601189872,18.7340162525486,38547413.2290602,114571022.389691,95
"0101011",300,49543886.0603777,8305721.49989227,479531.054377686,16.7643722774801,39267202.6447456,108472476.068429,96
"1111111",300,50146187.2838688,11060798.3874697,638595.492645779,22.0571074025158,39045288.8087092,148319208.566985,97
"0101110",300,50272141.962361,12920664.6517985,745974.921482474,25.7014404945631,39354069.5134415,177087677.966674,98
"0111011",300,50433431.2855158,12764357.9467252,736950.549657453,25.3093188810872,38914915.7040658,155691535.356587,99
"1101100",300,50686082.3937318,8093378.80210437,467271.443004857,15.9676550640364,40471879.8347034,91184891.7342813,100
"1101000",300,50871749.4781308,7803037.03722696,450508.55339396,15.3386449596773,40129814.2386136,82895454.073317,101
"1101101",300,50901872.7901533,8739307.6340101,504564.161502668,17.1689314262336,40195714.2466119,137125278.286603,102
"1101110",300,50993278.2561742,8450197.78540477,487872.396610903,16.571199331319,41272202.3799156,97714321.6031993,103
"1101001",300,51017563.9961964,8372866.77237515,483407.688491967,16.4117337570241,40506795.4818929,91438750.9122417,104
"1101010",300,51036642.4319336,8669452.90498161,500531.096841791,16.9867226601825,39975722.372806,121101063.792046,105
"1101111",300,51302129.8211301,11737359.1695571,677656.747611909,22.8788925732333,40641638.6047545,132472178.605643,106
"0001111",300,51508520.7544871,7850188.2531043,453230.8301119,15.2405624120363,42761097.0148856,98616362.5434348,107
"0001110",300,51713682.9909798,9213089.23766245,531917.955143246,17.8155735673853,41400842.8064874,106181482.529216,108
"1101011",300,51875014.1507872,9086875.77507363,524631.017483145,17.5168641856375,40804335.6196401,92663157.3357032,109
"0011111",300,52104332.4919203,10627806.0446834,613596.668079308,20.3971637988672,41933459.3094868,144410359.639191,110
"0011100",300,52243239.0117989,9237712.10653801,533339.557140599,17.6821197943943,41646344.3608087,105495735.141524,111
"0001001",300,52278868.9397497,10103907.9176948,583349.39561483,19.3269443708497,41156753.6031993,156960408.997112,112
"0011001",300,52359744.382398,8658439.34030832,499895.228388905,16.5364431061261,41899854.0910909,123387223.305043,113
"0011010",300,52426854.2073791,12333567.2240616,712078.835688031,23.5252856775939,42204004.6140858,208366783.331704,114
"0001010",300,52520369.2210857,9289952.24852793,536355.643144637,17.6882843481577,41355210.7638303,121608447.260609,115
"0001100",300,52651244.1228882,9042727.44124271,522082.11224099,17.1747649877692,42235891.7147301,98809548.8682515,116
"1001011",300,56229907.4622943,9046842.47170161,522319.693635306,16.0890225148745,45576320.3128194,100808375.027772,117
"1001000",300,56438137.072852,9741123.30727665,562404.016366551,17.2598243182664,44704404.6745168,116976809.491224,118
"1011001",300,56439978.0797038,8979503.80026583,518431.893627274,15.9098286459025,45034050.3177072,100803788.526994,119
"1011100",300,56451744.8566511,10351959.6653913,597670.669945383,18.3377142578644,44676667.2650522,146069114.966452,120
"1001110",300,56660615.7522328,9365909.41474448,540741.032180837,16.5298405080877,45064859.9546767,110862406.98156,121
"1011010",300,56893947.4514167,9973721.73934883,575833.093103547,17.5303739433191,44700458.827816,132587904.028438,122
"1011011",300,57173982.9298734,10362356.1814544,598270.913080151,18.1242510149492,45546733.7427238,143186899.636525,123
"1001101",300,57312214.675992,12948194.3359557,747564.348538362,22.5923817621721,45178241.1659631,182478971.307709,124
"1111011",300,57957557.0302777,8965633.91803449,517631.115603285,15.4693095731256,46810074.4616752,95911273.5054432,125
"1111110",300,58056360.7889921,8849371.89828374,510918.724763323,15.2427258236993,47014865.3614752,112966751.779605,126
"1111101",300,58233835.4608487,8514695.89477103,491596.196691385,14.6215612064494,46878522.525661,97312471.3334814,127
"1111100",300,59482612.074188,10796038.7603915,623309.588449367,18.1499069794152,48195547.1441902,151418663.870251,128
