tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,predicted_label_hits,estimated_jitter_ns
0,525367504647970,72856,0,0,0,6,0.000391,4096,0,62856.00
0,525367504724705,76735,0,0,0,7,0.000417,4096,0,66735.00
0,525367504815413,90708,0,0,0,8,0.000270,4096,0,80708.00
0,525367504887364,71951,0,0,0,9,0.000232,4096,0,61951.00
0,525367504960343,72979,0,0,0,7,0.000430,4096,0,62979.00
0,525367505010137,49794,0,0,0,4,0.000422,4096,0,39794.00
0,525367505088984,78847,0,0,0,3,0.000429,4096,0,68847.00
0,525367505160534,71550,0,0,0,3,0.000336,4096,0,61550.00
0,525367505233737,73203,0,0,0,3,0.000391,4096,0,63203.00
0,525367505314872,81135,0,0,0,2,0.000348,4096,0,71135.00
0,525367505418469,103597,0,0,0,3,0.000223,4096,0,93597.00
0,525367505492332,73863,0,0,0,7,0.000253,4096,0,63863.00
0,525367505565737,73405,0,0,0,12,0.000267,4096,0,63405.00
0,525367505637443,71706,0,0,0,11,0.000525,4096,0,61706.00
0,525367505711026,73583,0,0,0,10,0.000571,4096,0,63583.00
0,525367505781738,70712,0,0,0,0,0.000050,4096,0,60712.00
0,525367505851566,69828,0,0,0,0,0.000061,4096,0,59828.00
0,525367511122119,525367511122119,0,0,0,0,0.000020,4096,0,525367511112119.00
0,525367511226853,104734,0,0,0,0,0.000019,4096,0,94734.00
0,525367511300031,73178,0,0,0,3,0.000123,4096,0,63178.00
0,525367511377211,77180,0,0,0,10,0.000203,4096,0,67180.00
0,525367511449434,72223,0,0,0,11,0.000229,4096,0,62223.00
0,525367511522413,72979,0,0,0,13,0.000240,4096,0,62979.00
0,525367511595127,72714,0,0,0,12,0.000270,4096,0,62714.00
0,525367511667969,72842,0,0,0,11,0.000280,4096,0,62842.00
0,525367511739919,71950,0,0,0,9,0.000378,4096,0,61950.00
0,525367511812935,73016,0,0,0,7,0.000516,4096,0,63016.00
0,525367511885396,72461,0,0,0,6,0.000331,4096,0,62461.00
0,525367511955328,69932,0,0,0,9,0.000288,4096,0,59932.00
0,525367512012073,56745,0,0,0,7,0.000471,4096,0,46745.00
0,525367512086370,74297,0,0,0,5,0.000520,4096,0,64297.00
0,525367512167980,81610,0,0,0,4,0.000551,4096,0,71610.00
0,525367512239434,71454,0,0,0,4,0.000434,4096,0,61454.00
0,525367512319524,80090,0,0,0,4,0.000514,4096,0,70090.00
0,525367512399449,79925,0,0,0,2,0.000471,4096,0,69925.00
0,525367512477841,78392,0,0,0,3,0.000317,4096,0,68392.00
0,525367512560204,82363,0,0,0,6,0.000310,4096,0,72363.00
0,525367512634520,74316,0,0,0,11,0.000333,4096,0,64316.00
0,525367512707577,73057,0,0,0,10,0.000652,4096,0,63057.00
0,525367512780966,73389,0,0,0,10,0.000673,4096,0,63389.00
0,525367512851336,70370,0,0,0,0,0.000050,4096,0,60370.00
0,525367517114050,525367517114050,0,0,0,0,0.000020,4096,0,525367517104050.00
0,525367517212798,98748,0,0,0,0,0.000019,4096,0,88748.00
0,525367517285428,72630,0,0,0,4,0.000165,4096,0,62630.00
0,525367517360363,74935,0,0,0,11,0.000219,4096,0,64935.00
0,525367517433324,72961,0,0,0,12,0.000240,4096,0,62961.00
0,525367517503931,70607,0,0,0,14,0.000245,4096,0,60607.00
0,525367517577932,74001,0,0,0,13,0.000276,4096,0,64001.00
0,525367517650660,72728,0,0,0,10,0.000267,4096,0,62728.00
0,525367517722833,72173,0,0,0,9,0.000359,4096,0,62173.00
0,525367517793266,70433,0,0,0,7,0.000500,4096,0,60433.00
0,525367517866734,73468,0,0,0,8,0.000324,4096,0,63468.00
0,525367517936465,69731,0,0,0,9,0.000278,4096,0,59731.00
0,525367518008982,72517,0,0,0,7,0.000529,4096,0,62517.00
0,525367518089299,80317,0,0,0,4,0.000458,4096,0,70317.00
0,525367518160750,71451,0,0,0,3,0.000408,4096,0,61451.00
0,525367518230964,70214,0,0,0,3,0.000435,4096,0,60214.00
0,525367518303899,72935,0,0,0,3,0.000518,4096,0,62935.00
0,525367518376212,72313,0,0,0,2,0.000400,4096,0,62313.00
0,525367518447233,71021,0,0,0,8,0.000415,4096,0,61021.00
0,525367518519459,72226,0,0,0,10,0.000440,4096,0,62226.00
0,525367518590022,70563,0,0,0,14,0.000524,4096,0,60563.00
0,525367518663410,73388,0,0,0,11,0.000832,4096,0,63388.00
0,525367518733413,70003,0,0,0,0,0.000046,4096,0,60003.00
0,525367522799079,525367522799079,0,0,0,0,0.000020,4096,0,525367522789079.00
0,525367522894820,95741,0,0,0,0,0.000018,4096,0,85741.00
0,525367522965916,71096,0,0,0,6,0.000159,4096,0,61096.00
0,525367523016234,50318,0,0,0,10,0.000204,4096,0,40318.00
0,525367523090533,74299,0,0,0,11,0.000225,4096,0,64299.00
0,525367523164789,74256,0,0,0,13,0.000235,4096,0,64256.00
0,525367523237179,72390,0,0,0,12,0.000262,4096,0,62390.00
0,525367523308640,71461,0,0,0,11,0.000280,4096,0,61461.00
0,525367523380539,71899,0,0,0,11,0.000419,4096,0,61899.00
0,525367523452201,71662,0,0,0,7,0.000506,4096,0,61662.00
0,525367523524404,72203,0,0,0,6,0.000327,4096,0,62203.00
0,525367523594839,70435,0,0,0,9,0.000283,4096,0,60435.00
0,525367523712655,117816,0,0,0,6,0.000459,4096,0,107816.00
0,525367523791269,78614,0,0,0,4,0.000396,4096,0,68614.00
0,525367523863868,72599,0,0,0,3,0.000412,4096,0,62599.00
0,525367523948004,84136,0,0,0,3,0.000440,4096,0,74136.00
0,525367524022249,74245,0,0,0,3,0.000584,4096,0,64245.00
0,525367524109882,87633,0,0,0,2,0.000387,4096,0,77633.00
0,525367524183682,73800,0,0,0,6,0.000307,4096,0,63800.00
0,525367524264695,81013,0,0,0,8,0.000402,4096,0,71013.00
0,525367524341270,76575,0,0,0,12,0.000420,4096,0,66575.00
0,525367524416575,75305,0,0,0,12,0.000720,4096,0,65305.00
0,525367524492316,75741,0,0,0,11,0.000637,4096,0,65741.00
0,525367524566455,74139,0,0,0,0,0.000050,4096,0,64139.00
0,525367524638692,72237,0,0,0,0,0.000061,4096,0,62237.00
0,525367529222012,525367529222012,0,0,0,0,0.000020,4096,0,525367529212012.00
0,525367529321187,99175,0,0,0,0,0.000019,4096,0,89175.00
0,525367529393001,71814,0,0,0,4,0.000145,4096,0,61814.00
0,525367529463614,70613,0,0,0,11,0.000220,4096,0,60613.00
0,525367529537997,74383,0,0,0,12,0.000235,4096,0,64383.00
0,525367529610714,72717,0,0,0,14,0.000243,4096,0,62717.00
0,525367529683594,72880,0,0,0,13,0.000270,4096,0,62880.00
0,525367529755964,72370,0,0,0,10,0.000269,4096,0,62370.00
0,525367529828110,72146,0,0,0,9,0.000367,4096,0,62146.00
0,525367529900459,72349,0,0,0,7,0.000517,4096,0,62349.00
0,525367529973683,73224,0,0,0,7,0.000322,4096,0,63224.00
0,525367530027269,53586,0,0,0,7,0.000307,4096,0,43586.00
0,525367530103663,76394,0,0,0,5,0.000516,4096,0,66394.00
0,525367530176225,72562,0,0,0,5,0.000511,4096,0,62562.00
0,525367530249915,73690,0,0,0,4,0.000503,4096,0,63690.00
0,525367530319561,69646,0,0,0,4,0.000380,4096,0,59646.00
0,525367530389781,70220,0,0,0,4,0.000496,4096,0,60220.00
0,525367530474281,84500,0,0,0,2,0.000429,4096,0,74500.00
0,525367530549468,75187,0,0,0,2,0.000273,4096,0,65187.00
0,525367530630650,81182,0,0,0,7,0.000299,4096,0,71182.00
0,525367536748189,525367536748189,0,0,0,0,0.000020,4096,0,525367536738189.00
0,525367536849252,101063,0,0,0,0,0.000019,4096,0,91063.00
0,525367536922541,73289,0,0,0,3,0.000156,4096,0,63289.00
0,525367536993961,71420,0,0,0,11,0.000211,4096,0,61420.00
0,525367537068547,74586,0,0,0,12,0.000239,4096,0,64586.00
0,525367537144115,75568,0,0,0,14,0.000241,4096,0,65568.00
0,525367537216867,72752,0,0,0,13,0.000268,4096,0,62752.00
0,525367537289049,72182,0,0,0,12,0.000284,4096,0,62182.00
0,525367537362130,73081,0,0,0,9,0.000374,4096,0,63081.00
0,525367537434459,72329,0,0,0,7,0.000512,4096,0,62329.00
0,525367537507537,73078,0,0,0,6,0.000321,4096,0,63078.00
0,525367537577566,70029,0,0,0,8,0.000286,4096,0,60029.00
0,525367537649867,72301,0,0,0,6,0.000502,4096,0,62301.00
0,525367537722035,72168,0,0,0,4,0.000478,4096,0,62168.00
0,525367537796876,74841,0,0,0,3,0.000477,4096,0,64841.00
0,525367537870454,73578,0,0,0,3,0.000419,4096,0,63578.00
0,525367537940397,69943,0,0,0,3,0.000570,4096,0,59943.00
0,525367538015918,75521,0,0,0,2,0.000488,4096,0,65521.00
0,525367538090978,75060,0,0,0,3,0.000329,4096,0,65060.00
0,525367538168648,77670,0,0,0,7,0.000338,4096,0,67670.00
0,525367538246333,77685,0,0,0,13,0.000338,4096,0,67685.00
0,525367538319766,73433,0,0,0,11,0.000628,4096,0,63433.00
0,525367538390643,70877,0,0,0,11,0.000683,4096,0,60877.00
0,525367538461114,70471,0,0,0,0,0.000050,4096,0,60471.00
0,525367543420333,525367543420333,0,0,0,0,0.000020,4096,0,525367543410333.00
0,525367543520820,100487,0,0,0,0,0.000019,4096,0,90487.00
0,525367543596815,75995,0,0,0,4,0.000146,4096,0,65995.00
0,525367543669287,72472,0,0,0,11,0.000214,4096,0,62472.00
0,525367543742057,72770,0,0,0,12,0.000239,4096,0,62770.00
0,525367543814415,72358,0,0,0,14,0.000245,4096,0,62358.00
0,525367543886238,71823,0,0,0,13,0.000272,4096,0,61823.00
0,525367543958261,72023,0,0,0,12,0.000272,4096,0,62023.00
0,525367544009664,51403,0,0,0,8,0.000408,4096,0,41403.00
0,525367544082084,72420,0,0,0,6,0.000488,4096,0,62420.00
0,525367544155576,73492,0,0,0,6,0.000344,4096,0,63492.00
0,525367544225506,69930,0,0,0,9,0.000276,4096,0,59930.00
0,525367544298923,73417,0,0,0,7,0.000459,4096,0,63417.00
0,525367544371168,72245,0,0,0,5,0.000511,4096,0,62245.00
0,525367544451715,80547,0,0,0,4,0.000526,4096,0,70547.00
0,525367544523322,71607,0,0,0,4,0.000431,4096,0,61607.00
0,525367544600504,77182,0,0,0,4,0.000510,4096,0,67182.00
0,525367544674138,73634,0,0,0,2,0.000472,4096,0,63634.00
0,525367544768679,94541,0,0,0,3,0.000281,4096,0,84541.00
0,525367544842952,74273,0,0,0,8,0.000320,4096,0,64273.00
0,525367544914815,71863,0,0,0,13,0.000343,4096,0,61863.00
0,525367544988450,73635,0,0,0,11,0.000662,4096,0,63635.00
0,525367545062258,73808,0,0,0,10,0.000686,4096,0,63808.00
0,525367545134789,72531,0,0,0,0,0.000050,4096,0,62531.00
0,525367549257357,525367549257357,0,0,0,0,0.000020,4096,0,525367549247357.00
0,525367549356095,98738,0,0,0,0,0.000019,4096,0,88738.00
0,525367549429001,72906,0,0,0,4,0.000140,4096,0,62906.00
0,525367549503835,74834,0,0,0,11,0.000217,4096,0,64834.00
0,525367549574683,70848,0,0,0,12,0.000234,4096,0,60848.00
0,525367549647673,72990,0,0,0,14,0.000249,4096,0,62990.00
0,525367549720111,72438,0,0,0,13,0.000276,4096,0,62438.00
0,525367549792427,72316,0,0,0,10,0.000274,4096,0,62316.00
0,525367549865143,72716,0,0,0,9,0.000370,4096,0,62716.00
0,525367549937312,72169,0,0,0,7,0.000521,4096,0,62169.00
0,525367550030713,93401,0,0,0,6,0.000325,4096,0,83401.00
0,525367550109643,78930,0,0,0,7,0.000281,4096,0,68930.00
0,525367550182300,72657,0,0,0,5,0.000483,4096,0,62657.00
0,525367550254208,71908,0,0,0,5,0.000493,4096,0,61908.00
0,525367550336159,81951,0,0,0,4,0.000455,4096,0,71951.00
0,525367550407589,71430,0,0,0,4,0.000415,4096,0,61430.00
0,525367550477478,69889,0,0,0,4,0.000487,4096,0,59889.00
0,525367550551543,74065,0,0,0,2,0.000359,4096,0,64065.00
0,525367550625923,74380,0,0,0,3,0.000334,4096,0,64380.00
0,525367550699863,73940,0,0,0,8,0.000337,4096,0,63940.00
0,525367550785670,85807,0,0,0,13,0.000335,4096,0,75807.00
0,525367550862564,76894,0,0,0,12,0.000633,4096,0,66894.00
0,525367550943499,80935,0,0,0,11,0.000619,4096,0,70935.00
0,525367551008322,64823,0,0,0,0,0.000050,4096,0,54823.00
0,525367555330763,525367555330763,0,0,0,0,0.000020,4096,0,525367555320763.00
0,525367555428709,97946,0,0,0,0,0.000019,4096,0,87946.00
0,525367555501420,72711,0,0,0,4,0.000147,4096,0,62711.00
0,525367555576019,74599,0,0,0,11,0.000219,4096,0,64599.00
0,525367555647365,71346,0,0,0,12,0.000238,4096,0,61346.00
0,525367555721623,74258,0,0,0,14,0.000245,4096,0,64258.00
0,525367555929270,207647,0,0,0,10,0.000222,4096,0,197647.00
0,525367556035991,106721,0,0,0,9,0.000261,4096,0,96721.00
0,525367556116734,80743,0,0,0,7,0.000376,4096,0,70743.00
0,525367556195911,79177,0,0,0,6,0.000508,4096,0,69177.00
0,525367556273448,77537,0,0,0,8,0.000379,4096,0,67537.00
0,525367556348361,74913,0,0,0,8,0.000311,4096,0,64913.00
0,525367556422268,73907,0,0,0,3,0.000414,4096,0,63907.00
0,525367556495196,72928,0,0,0,3,0.000403,4096,0,62928.00
0,525367556569571,74375,0,0,0,2,0.000602,4096,0,64375.00
0,525367556646437,76866,0,0,0,2,0.000353,4096,0,66866.00
0,525367556721638,75201,0,0,0,3,0.000521,4096,0,65201.00
0,525367556804858,83220,0,0,0,8,0.000435,4096,0,73220.00
0,525367556880564,75706,0,0,0,13,0.000462,4096,0,65706.00
0,525367556961785,81221,0,0,0,11,0.000588,4096,0,71221.00
0,525367557025465,63680,0,0,0,9,0.000670,4096,0,53680.00
0,525367557103819,78354,0,0,0,0,0.000000,4096,0,68354.00
0,525367557175610,71791,0,0,0,0,0.000050,4096,0,61791.00
0,525367557247511,71901,0,0,0,0,0.000050,4096,0,61901.00
0,525367561669373,525367561669373,0,0,0,0,0.000020,4096,0,525367561659373.00
0,525367561767258,97885,0,0,0,0,0.000019,4096,0,87885.00
0,525367561839365,72107,0,0,0,4,0.000146,4096,0,62107.00
0,525367561915125,75760,0,0,0,11,0.000216,4096,0,65760.00
0,525367561988399,73274,0,0,0,12,0.000234,4096,0,63274.00
0,525367562061212,72813,0,0,0,14,0.000236,4096,0,62813.00
0,525367562135123,73911,0,0,0,13,0.000266,4096,0,63911.00
0,525367562207407,72284,0,0,0,12,0.000281,4096,0,62284.00
0,525367562279931,72524,0,0,0,10,0.000418,4096,0,62524.00
0,525367562352549,72618,0,0,0,7,0.000510,4096,0,62618.00
0,525367562422656,70107,0,0,0,6,0.000331,4096,0,60107.00
0,525367562492439,69783,0,0,0,9,0.000288,4096,0,59783.00
0,525367562565937,73498,0,0,0,8,0.000500,4096,0,63498.00
0,525367562639518,73581,0,0,0,5,0.000508,4096,0,63581.00
0,525367562713625,74107,0,0,0,4,0.000509,4096,0,64107.00
0,525367562790635,77010,0,0,0,4,0.000441,4096,0,67010.00
0,525367562864447,73812,0,0,0,4,0.000546,4096,0,63812.00
0,525367562938758,74311,0,0,0,2,0.000448,4096,0,64311.00
0,525367563019776,81018,0,0,0,2,0.000325,4096,0,71018.00
0,525367563103292,83516,0,0,0,8,0.000330,4096,0,73516.00
0,525367563181865,78573,0,0,0,14,0.000333,4096,0,68573.00
0,525367563261941,80076,0,0,0,12,0.000598,4096,0,70076.00
0,525367563336277,74336,0,0,0,12,0.000664,4096,0,64336.00
0,525367563406816,70539,0,0,0,0,0.000050,4096,0,60539.00
0,525367567616054,525367567616054,0,0,0,0,0.000020,4096,0,525367567606054.00
0,525367567715679,99625,0,0,0,0,0.000019,4096,0,89625.00
0,525367567789036,73357,0,0,0,4,0.000165,4096,0,63357.00
0,525367567859538,70502,0,0,0,11,0.000219,4096,0,60502.00
0,525367567931266,71728,0,0,0,12,0.000237,4096,0,61728.00
0,525367568075274,144008,0,0,0,13,0.000261,4096,0,134008.00
0,525367568152732,77458,0,0,0,13,0.000259,4096,0,67458.00
0,525367568226047,73315,0,0,0,10,0.000242,4096,0,63315.00
0,525367568298769,72722,0,0,0,8,0.000367,4096,0,62722.00
0,525367568371032,72263,0,0,0,5,0.000500,4096,0,62263.00
0,525367568441004,69972,0,0,0,6,0.000335,4096,0,59972.00
0,525367568513795,72791,0,0,0,8,0.000315,4096,0,62791.00
0,525367568598209,84414,0,0,0,4,0.000559,4096,0,74414.00
0,525367568672150,73941,0,0,0,4,0.000377,4096,0,63941.00
0,525367568750507,78357,0,0,0,3,0.000572,4096,0,68357.00
0,525367568829786,79279,0,0,0,3,0.000411,4096,0,69279.00
0,525367568903647,73861,0,0,0,3,0.000478,4096,0,63861.00
0,525367568974994,71347,0,0,0,7,0.000429,4096,0,61347.00
0,525367569010087,35093,0,0,0,7,0.000439,4096,0,25093.00
0,525367569085854,75767,0,0,0,10,0.000473,4096,0,65767.00
0,525367569159495,73641,0,0,0,13,0.000565,4096,0,63641.00
0,525367569232315,72820,0,0,0,11,0.000912,4096,0,62820.00
0,525367569302959,70644,0,0,0,0,0.000052,4096,0,60644.00
0,525367569372594,69635,0,0,0,0,0.000050,4096,0,59635.00
0,525367574188615,525367574188615,0,0,0,0,0.000019,4096,0,525367574178615.00
0,525367574293125,104510,0,0,0,0,0.000018,4096,0,94510.00
0,525367574366294,73169,0,0,0,4,0.000131,4096,0,63169.00
0,525367574437313,71019,0,0,0,11,0.000212,4096,0,61019.00
0,525367574512695,75382,0,0,0,12,0.000229,4096,0,65382.00
0,525367574585311,72616,0,0,0,14,0.000244,4096,0,62616.00
0,525367574656784,71473,0,0,0,13,0.000272,4096,0,61473.00
0,525367574735780,78996,0,0,0,10,0.000278,4096,0,68996.00
0,525367574815774,79994,0,0,0,7,0.000340,4096,0,69994.00
0,525367574889374,73600,0,0,0,5,0.000522,4096,0,63600.00
0,525367574961666,72292,0,0,0,6,0.000326,4096,0,62292.00
0,525367575006884,45218,0,0,0,6,0.000291,4096,0,35218.00
0,525367575084001,77117,0,0,0,5,0.000544,4096,0,67117.00
0,525367575157256,73255,0,0,0,4,0.000473,4096,0,63255.00
0,525367575230694,73438,0,0,0,3,0.000455,4096,0,63438.00
0,525367575298746,68052,0,0,0,3,0.000408,4096,0,58052.00
0,525367575366979,68233,0,0,0,3,0.000544,4096,0,58233.00
0,525367575441916,74937,0,0,0,2,0.000466,4096,0,64937.00
0,525367575544882,102966,0,0,0,3,0.000287,4096,0,92966.00
0,525367575619236,74354,0,0,0,8,0.000318,4096,0,64354.00
0,525367575693623,74387,0,0,0,13,0.000320,4096,0,64387.00
0,525367575767253,73630,0,0,0,11,0.000628,4096,0,63630.00
0,525367575838373,71120,0,0,0,11,0.000660,4096,0,61120.00
0,525367575909331,70958,0,0,0,0,0.000050,4096,0,60958.00
0,525367575981826,72495,0,0,0,0,0.000061,4096,0,62495.00
0,525367580318408,525367580318408,0,0,0,0,0.000020,4096,0,525367580308408.00
0,525367580416585,98177,0,0,0,0,0.000019,4096,0,88177.00
0,525367580489906,73321,0,0,0,4,0.000164,4096,0,63321.00
0,525367580564872,74966,0,0,0,11,0.000220,4096,0,64966.00
0,525367580637895,73023,0,0,0,12,0.000235,4096,0,63023.00
0,525367580708409,70514,0,0,0,14,0.000244,4096,0,60514.00
0,525367580780534,72125,0,0,0,13,0.000276,4096,0,62125.00
0,525367580851122,70588,0,0,0,10,0.000274,4096,0,60588.00
0,525367580924841,73719,0,0,0,7,0.000335,4096,0,63719.00
0,525367580996148,71307,0,0,0,5,0.000483,4096,0,61307.00
0,525367581089342,93194,0,0,0,6,0.000310,4096,0,83194.00
0,525367581167131,77789,0,0,0,6,0.000279,4096,0,67789.00
0,525367581237579,70448,0,0,0,4,0.000500,4096,0,60448.00
0,525367581310084,72505,0,0,0,5,0.000472,4096,0,62505.00
0,525367581383533,73449,0,0,0,4,0.000476,4096,0,63449.00
0,525367581455678,72145,0,0,0,4,0.000384,4096,0,62145.00
0,525367581528814,73136,0,0,0,4,0.000529,4096,0,63136.00
0,525367581601424,72610,0,0,0,2,0.000426,4096,0,62610.00
0,525367581671955,70531,0,0,0,2,0.000253,4096,0,60531.00
0,525367581746185,74230,0,0,0,8,0.000302,4096,0,64230.00
0,525367581819976,73791,0,0,0,11,0.000351,4096,0,63791.00
0,525367581892845,72869,0,0,0,13,0.000634,4096,0,62869.00
0,525367581965393,72548,0,0,0,14,0.000702,4096,0,62548.00
0,525367582010222,44829,0,0,0,11,0.000715,4096,0,34829.00
0,525367582082748,72526,0,0,0,0,0.000061,4096,0,62526.00
0,525367586605387,525367586605387,0,0,0,0,0.000020,4096,0,525367586595387.00
